"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 05 02:26:35 UTC 2023","Thu Oct 05 02:26:53 UTC 2023","18356","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Oct 05 04:00:56 UTC 2023","Thu Oct 05 04:00:59 UTC 2023","2857","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Oct 05 02:24:45 UTC 2023","Thu Oct 05 02:25:17 UTC 2023","31714","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Oct 05 04:06:39 UTC 2023","Thu Oct 05 04:06:59 UTC 2023","19748","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Thu Oct 05 04:08:33 UTC 2023","Thu Oct 05 04:08:35 UTC 2023","2505","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Thu Oct 05 02:36:29 UTC 2023","Thu Oct 05 02:36:50 UTC 2023","21775","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Oct 05 03:57:43 UTC 2023","Thu Oct 05 03:57:47 UTC 2023","4268","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Oct 05 02:38:40 UTC 2023","Thu Oct 05 02:38:41 UTC 2023","485","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Oct 05 04:10:12 UTC 2023","Thu Oct 05 04:10:55 UTC 2023","43858","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Oct 05 03:36:55 UTC 2023","Thu Oct 05 03:37:37 UTC 2023","42498","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Oct 05 03:04:27 UTC 2023","Thu Oct 05 03:04:30 UTC 2023","3558","","6. Company Account","","","","6. Review Review Page",""
